,pairAddress,token0,token1,dailyVolumeUSD,dailyTxns,dailySwapVolumeToken0,dailySwapVolumeToken1,reserveUSD,mintsCount,burnsCount,swapsCount,token0To1Txs,token0To1VolumeUSD,token1To0Txs,token1To0VolumeUSD,GrossVolumeUSD
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,{'symbol': 'USDC'},{'symbol': 'WETH'},14259588.674481528,2375,19460383.688764,11013.887960453836184861,158794869.0648514537283728082927872,3.0,2.0,2368.0,1054.0,10577536.280889377,1314.0,8886595.289955035,19464131.57084441
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,{'symbol': 'WETH'},{'symbol': 'USDT'},8915421.736887913,1385,5691.381496706846739521,10080870.393233,87676938.70364053840984545132305594,1.0,1.0,1383.0,703.0,4560832.07879269,679.0,5505324.2644945765,10066156.343287267
2,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e,{'symbol': 'USDC'},{'symbol': 'CAW'},3751112.345892721,251,1382477.572312,29901388357658.474225075067285444,8373043.279764557034907660193515768,1.0,0.0,250.0,178.0,785217.9847411452,72.0,597839.7070533893,1383057.6917945344
3,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,{'symbol': 'DAI'},{'symbol': 'WETH'},1119701.4280241912,348,1072435.92789473161526827,606.849762787143808092,17149297.14303610074480749125791475,1.0,3.0,344.0,175.0,630825.2708996944,169.0,441911.2768954788,1072736.5477951732
4,0x5281e311734869c64ca60ef047fd87759397efe6,{'symbol': 'WETH'},{'symbol': 'CULT'},1441067.6041500384,368,281.847486430046039047,41675441808.728656276998382465,5220536.8128355885436081750333161,0.0,0.0,368.0,261.0,290241.29874126083,107.0,208698.19851791277,498939.4972591736
5,0xd3d2e2692501a5c9ca623199d38826e513033a17,{'symbol': 'UNI'},{'symbol': 'WETH'},1378299.8000773394,123,143991.132171738918797467,391.356492901783258281,20547466.89730129121522167480605386,0.0,3.0,120.0,71.0,279329.63967144705,49.0,411246.1361972184,690575.7758686654
6,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23,{'symbol': 'SAITAMA'},{'symbol': 'WETH'},707432.4023273125,2082,527242973252701.548960213,1450.24949260075904071,7964713.194687054184468951858812584,0.0,0.0,2082.0,407.0,1116073.2759363092,1675.0,1449787.2574190968,2565860.533355406
7,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,{'symbol': 'X2Y2'},{'symbol': 'WETH'},2929790.0114714336,228,7732918.343867401000620855,792.691618886423859423,5448898.193352159140003466540814077,0.0,0.0,228.0,109.0,654293.275971431,119.0,751263.907456473,1405557.183427904
8,0x7b73644935b8e68019ac6356c40661e1bc315860,{'symbol': 'ELON'},{'symbol': 'WETH'},1145358.7492023672,236,1427778158183.827252323467618109,362.248553191364288726,14694924.0589749126670368221465417,0.0,0.0,236.0,109.0,374666.3463116221,127.0,265809.8570870664,640476.2033986885
9,0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,{'symbol': 'HEX'},{'symbol': 'WETH'},1257768.3709635965,1084,23778571.53147643,1044.578339781645744971,1192018.606606473643533573461385434,0.0,0.0,1084.0,317.0,894792.5339960816,767.0,954830.2860646704,1849622.8200607519
10,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,{'symbol': 'USDC'},{'symbol': 'USDT'},472792.3120585916,207,327221.586209,327647.912161,18258416.3482753439589292121589837,0.0,1.0,206.0,82.0,172571.87391968223,124.0,154796.91610432585,327368.7900240081
11,0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,{'symbol': 'PAXG'},{'symbol': 'WETH'},826884.0032818473,63,313.775457905281005534,330.166495795492333532,22011390.65736969576134021837038643,0.0,0.0,63.0,39.0,408909.921434788,24.0,173391.64174502555,582301.5631798136
12,0xec54859519293b8784bc5bf28144166f313618af,{'symbol': 'DAI'},{'symbol': 'O'},882879.8896446851,63,102463.138409653395934085,15271788007.766163020956022687,1799005.090418563429331978207935545,0.0,0.0,63.0,50.0,89025.80126677487,13.0,13497.875317085789,102523.67658386065
13,0x8ef79d6c328c25da633559c20c75f638a4863462,{'symbol': 'QOM'},{'symbol': 'WETH'},1114783.1698691847,135,14360683796717.470675940743398908,288.82117394363111964,2519183.481047770627815080067805701,3.0,0.0,132.0,41.0,253418.2970005591,91.0,260592.29015943938,514010.5871599985
